任务编号,用户ID,接单时间,完成时间,状态,淘宝订单号,旺旺号,关键词,商品名,师傅佣金,徒弟佣金
12,1000000013,20180612-1106,19700101-0800,任务进行中,,测试123,可以,衬衫,3,2
12,1000000012,20180612-0842,20180612-1634,审核成功,hhyhbddd,wangwang,可以,衬衫,3,2
12,1000000006,20180611-2133,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2045,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2044,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2043,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2042,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2042,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2041,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2041,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2039,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000006,20180611-2039,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2214,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2140,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2138,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2136,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2131,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2131,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2106,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2103,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2103,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2101,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2101,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2100,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2059,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2059,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2058,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2058,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2053,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2053,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2052,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2050,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2049,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2049,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2048,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2047,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2047,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-2040,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1720,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1715,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1712,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1709,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1645,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1633,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1620,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1618,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1616,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1615,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1610,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1518,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1507,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1507,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1507,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1505,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1505,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1503,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1503,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1458,19700101-0800,审核成功,12233,undefined,可以,衬衫,3,2
12,1000000004,20180609-1457,19700101-0800,审核失败,1233,undefined,可以,衬衫,3,2
12,1000000004,20180609-1455,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1454,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1453,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1446,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1443,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1439,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1439,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1439,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1438,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1437,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1437,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1432,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1425,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1421,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1420,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1420,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1420,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1418,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1417,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1417,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1416,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1416,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1415,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1413,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1413,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1413,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1413,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1413,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1412,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1412,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1409,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1407,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1407,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1407,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1400,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1359,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1358,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1357,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1351,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1351,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1350,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1350,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1350,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1336,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1333,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1331,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1151,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
12,1000000004,20180609-1143,19700101-0800,任务进行中,,undefined,可以,衬衫,3,2
